observation_date,growth
2000-02-01,0.311842571099073
2000-03-01,0.35494125296792517
2000-04-01,0.5934581411047356
2000-05-01,0.2704032053406759
2000-06-01,0.03904567263825654
2000-07-01,-0.19527324535884188
2000-08-01,-0.27266333927551173
2000-09-01,0.46040830248799314
2000-10-01,-0.38933847177072334
2000-11-01,0.02796044748454494
2000-12-01,-0.32683707203065376
2001-01-01,-0.4770869350923317
2001-02-01,-0.6534765134370768
2001-03-01,-0.20524117552426385
2001-04-01,-0.3596380672338287
2001-05-01,-0.4787344785631192
2001-06-01,-0.5294243917337967
2001-07-01,-0.6424803271452068
2001-08-01,-0.1148439565091319
2001-09-01,-0.5077876004763502
2001-10-01,-0.27452194543419073
2001-11-01,-0.6065460085319009
2001-12-01,-0.04275098074007238
2002-01-01,0.6633064841170301
2002-02-01,0.01152246826099873
2002-03-01,0.7212332694922952
2002-04-01,0.48710021656791713
2002-05-01,0.4009628467360337
2002-06-01,0.8215019236448063
2002-07-01,-0.03219706395004759
2002-08-01,-0.11111535235631594
2002-09-01,0.08486486965993494
2002-10-01,-0.20848363369350345
2002-11-01,0.5586575917318194
2002-12-01,-0.5576627290919478
2003-01-01,0.8485405723899884
2003-02-01,0.11874209279268255
2003-03-01,-0.263197134762851
2003-04-01,-0.5974715309085648
2003-05-01,-0.027277943080935983
2003-06-01,0.12771147115509307
2003-07-01,0.5125135550598797
2003-08-01,-0.21841578199743145
2003-09-01,0.6426751702139123
2003-10-01,0.12308567584179511
2003-11-01,0.6682592049196556
2003-12-01,0.029594602940967545
2004-01-01,0.15206262190346223
2004-02-01,0.6014306109160528
2004-03-01,-0.4008755848768866
2004-04-01,0.37074991758071035
2004-05-01,0.7197750706737387
2004-06-01,-0.7832838806188908
2004-07-01,0.7443879683666588
2004-08-01,0.06709667193686185
2004-09-01,0.12701843581539432
2004-10-01,0.849531273723381
2004-11-01,0.24803554509937667
2004-12-01,0.7936241000935799
2005-01-01,0.35900791158702894
2005-02-01,0.7232846062771174
2005-03-01,-0.13521797796179472
2005-04-01,0.2150195443822259
2005-05-01,0.0899720526852151
2005-06-01,0.4487529157463777
2005-07-01,-0.31714662882168804
2005-08-01,0.32537883465618994
2005-09-01,-1.956382876954614
2005-10-01,1.206432940721048
2005-11-01,1.117751662149517
2005-12-01,0.515169356423118
2006-01-01,0.15766002009161736
2006-02-01,0.04215001803382235
2006-03-01,0.22521146597457445
2006-04-01,0.30320784432704834
2006-05-01,0.0254114556411531
2006-06-01,0.3161409216424567
2006-07-01,-0.05127465055314873
2006-08-01,0.43791388783339674
2006-09-01,-0.16629623569391533
2006-10-01,-0.11474759561266443
2006-11-01,-0.04204326283365999
2006-12-01,1.0141747096689284
2007-01-01,-0.338886599431626
2007-02-01,0.9378469307673878
2007-03-01,0.1778615449302796
2007-04-01,0.670031990175266
2007-05-01,0.0955921474810443
2007-06-01,0.05768477837079103
2007-07-01,-0.12002567099922434
2007-08-01,0.19240393848492088
2007-09-01,0.2220126784417204
2007-10-01,-0.28240612145145494
2007-11-01,0.532071179671448
2007-12-01,0.03487607063124457
2008-01-01,-0.1324373400967894
2008-02-01,-0.39296708981344985
2008-03-01,-0.30504888010828163
2008-04-01,-0.6472955790125192
2008-05-01,-0.6076205184033746
2008-06-01,-0.23354873224962833
2008-07-01,-0.3580204065058132
2008-08-01,-1.5824415805610854
2008-09-01,-4.50476005695623
2008-10-01,0.9892320608247046
2008-11-01,-1.3288653060593256
2008-12-01,-2.860419685390871
2009-01-01,-2.5259180320142356
2009-02-01,-0.6104174649481385
2009-03-01,-1.577969562595754
2009-04-01,-0.8325115063071317
2009-05-01,-1.0150910930024282
2009-06-01,-0.37759360437510653
2009-07-01,1.1226962849123383
2009-08-01,1.0907281117748377
2009-09-01,0.8775750967465086
2009-10-01,0.2691831647081177
2009-11-01,0.4328725221761207
2009-12-01,0.40498600148736036
2010-01-01,1.0840638479048323
2010-02-01,0.3745944091096664
2010-03-01,0.6833361127325353
2010-04-01,0.3386556200030132
2010-05-01,1.3418531682922519
2010-06-01,0.1847502209251882
2010-07-01,0.3789845743598986
2010-08-01,0.36579355962980564
2010-09-01,0.2943425265869447
2010-10-01,-0.2837691245094572
2010-11-01,0.0869184552610764
2010-12-01,0.9737829134777881
2011-01-01,-0.21083561409290058
2011-02-01,-0.397874812894078
2011-03-01,1.034899107180462
2011-04-01,-0.3235499381844537
2011-05-01,0.1205352935432107
2011-06-01,0.3020314962187075
2011-07-01,0.4915055867338456
2011-08-01,0.6728443816048307
2011-09-01,-0.08274225944708267
2011-10-01,0.6916436587234633
2011-11-01,-0.008659124192387312
2011-12-01,0.529226190156129
2012-01-01,0.5946556615738015
2012-02-01,0.3210503784291487
2012-03-01,-0.5191174823684342
2012-04-01,0.7167758505782871
2012-05-01,0.23065483365497594
2012-06-01,0.0055291838529277345
2012-07-01,0.2096784200142982
2012-08-01,-0.4288270469703259
2012-09-01,-0.07339600552239395
2012-10-01,0.34679632891861345
2012-11-01,0.36609386281409545
2012-12-01,0.23667469005938263
2013-01-01,0.024511262335751804
2013-02-01,0.4666005179331894
2013-03-01,0.402048765132615
2013-04-01,-0.08633445250438548
2013-05-01,0.07806732341147295
2013-06-01,0.20727838311219046
2013-07-01,-0.31067520457494946
2013-08-01,0.5765462239130704
2013-09-01,0.5071694571082397
2013-10-01,-0.07890413557397505
2013-11-01,0.2333360007728033
2013-12-01,0.20086317141123064
2014-01-01,-0.3563932744874154
2014-02-01,0.7528506037615463
2014-03-01,0.9638605074811821
2014-04-01,0.09672024963488438
2014-05-01,0.3824320971515534
2014-06-01,0.3426313788952507
2014-07-01,0.2218785517998932
2014-08-01,-0.18898378264741095
2014-09-01,0.28693197501494605
2014-10-01,0.01193360840263373
2014-11-01,0.6153151350189172
2014-12-01,-0.007906777172807642
2015-01-01,-0.7879228487476458
2015-02-01,-0.6405903226315237
2015-03-01,-0.3351872508375763
2015-04-01,-0.5470746111495662
2015-05-01,-0.44228298448434067
2015-06-01,-0.3150018513620207
2015-07-01,0.6460082190607669
2015-08-01,-0.18402107442869045
2015-09-01,-0.2794967313555192
2015-10-01,-0.4847235319528369
2015-11-01,-0.7384517731685705
2015-12-01,-0.49161232406853894
2016-01-01,0.5226534839914181
2016-02-01,-0.5198264319300556
2016-03-01,-0.7447561483016334
2016-04-01,0.3376465558706353
2016-05-01,-0.22703697198567713
2016-06-01,0.4712588491570034
2016-07-01,0.11714023549630953
2016-08-01,-0.1508219677233403
2016-09-01,-0.10556910872728154
2016-10-01,0.015594399819346511
2016-11-01,-0.41804087257064787
2016-12-01,0.6812594589355484
2017-01-01,-0.26321858636490175
2017-02-01,-0.40228192946493696
2017-03-01,0.6577241165916399
2017-04-01,1.0135936505023562
2017-05-01,0.1183034781709034
2017-06-01,0.2057980285209821
2017-07-01,-0.23975598889276148
2017-08-01,-0.4147167620660212
2017-09-01,0.10316416096038926
2017-10-01,1.2242951327366367
2017-11-01,0.23896267805680657
2017-12-01,0.19533298635994295
2018-01-01,-0.0018725955011806047
2018-02-01,0.2421606629052912
2018-03-01,0.488635463438427
2018-04-01,1.0958581903170899
2018-05-01,-0.9045665423148675
2018-06-01,0.7739323183955853
2018-07-01,0.161307067324279
2018-08-01,0.6442729109766876
2018-09-01,0.06505452749955742
2018-10-01,-0.11033900564873926
2018-11-01,0.07930645244381049
2018-12-01,0.02450018435433025
2019-01-01,-0.6665223038358249
2019-02-01,-0.5479088490066776
2019-03-01,0.037528049254103496
2019-04-01,-0.5865977141161808
2019-05-01,0.11530983463275594
2019-06-01,0.04442719505578798
2019-07-01,-0.48606038693657805
2019-08-01,0.6825724834901714
2019-09-01,-0.33894417233817986
2019-10-01,-0.8478362664280364
2019-11-01,0.5006764315212775
2019-12-01,-0.2326684494464219
2020-01-01,-0.6575138580045964
2020-02-01,0.3356601456010003
2020-03-01,-3.9905426201024894
2020-04-01,-14.142247901545593
2020-05-01,1.6402914528457953
2020-06-01,6.347249159182694
2020-07-01,3.678711230080065
2020-08-01,0.9731960431251231
2020-09-01,0.012505093236555416
2020-10-01,0.8017424837306384
2020-11-01,0.353109679099897
2020-12-01,1.3112855111043258
2021-01-01,0.5264525566604699
2021-02-01,-3.3600576999423892
2021-03-01,2.856578623245058
2021-04-01,0.1757857877320389
2021-05-01,0.8834757856393223
2021-06-01,0.3668089560924184
2021-07-01,0.4530861445059503
2021-08-01,-0.20789280941337757
2021-09-01,-1.1923625038835892
2021-10-01,1.3345990980446365
2021-11-01,0.6757498302163356
2021-12-01,-0.2907100013006407
2022-01-01,-0.3855389013895069
2022-02-01,0.6177379936952057
2022-03-01,0.5779525289359483
2022-04-01,0.04861197143317195
2022-05-01,-0.10504332153142076
2022-06-01,-0.3118338689469307
2022-07-01,0.2027284973971847
2022-08-01,-0.12524758296693903
2022-09-01,0.19319323696046933
2022-10-01,-0.03841127462558634
2022-11-01,-0.2944493470728878
2022-12-01,-1.184540079752463
2023-01-01,0.737602422182949
2023-02-01,0.1358213571587366
2023-03-01,0.37577754656583384
2023-04-01,0.22988686347240922
2023-05-01,-0.3208999022467116
2023-06-01,-0.8047864805022571
2023-07-01,0.7830856183775964
2023-08-01,-0.06681669277958593
2023-09-01,0.18012453076874022
2023-10-01,-0.5481179041073229
2023-11-01,0.392385648842358
2023-12-01,-0.2589011060650594
2024-01-01,-1.3820284885654506
