observation_date,growth
2001-01-01,2.1737080384444227
2001-04-01,0.9913679954236153
2001-07-01,0.4880434208700547
2001-10-01,0.16717847261687785
2002-01-01,1.3283962744207767
2002-04-01,1.316672452290659
2002-07-01,2.1238037612101954
2002-10-01,1.9729338553718316
2003-01-01,1.665313375067277
2003-04-01,1.9361992510070731
2003-07-01,3.180032104863521
2003-10-01,4.210540085206416
2004-01-01,4.250332032511491
2004-04-01,4.140573979118905
2004-07-01,3.4351767090417553
2004-10-01,3.2961791364148354
2005-01-01,3.8343821654482033
2005-04-01,3.553832204416475
2005-07-01,3.390467386012498
2005-10-01,2.929407491106814
2006-01-01,3.1625662829545496
2006-04-01,2.9295698269819184
2006-07-01,2.298655260876798
2006-10-01,2.600453580210872
2007-01-01,1.564423797152663
2007-04-01,1.9159035137307965
2007-07-01,2.340433020653514
2007-10-01,2.110927015331334
2008-01-01,1.3828653946150922
2008-04-01,1.3666296962787265
2008-07-01,0.26561420506946337
2008-10-01,-2.5739986200986333
2009-01-01,-3.2876841970856376
2009-04-01,-4.060157511979949
2009-07-01,-3.182937976987482
2009-10-01,0.10551683488553006
2010-01-01,1.730210992943491
2010-04-01,2.8719566969670907
2010-07-01,3.28950681275343
2010-10-01,2.738129639274122
2011-01-01,2.017311943601318
2011-04-01,1.7286807082070506
2011-07-01,0.9382382121283851
2011-10-01,1.5312915288296665
2012-01-01,2.6038723843135974
2012-04-01,2.374910264079289
2012-07-01,2.5411498661439715
2012-10-01,1.5399339265725158
2013-01-01,1.6865656712451937
2013-04-01,1.508502871126583
2013-07-01,2.212368149890061
2013-10-01,2.9647584321411893
2014-01-01,1.637339690623759
2014-04-01,2.653629887024988
2014-07-01,3.0139050643532315
2014-10-01,2.6503996420704317
2015-01-01,3.8925472447287564
2015-04-01,3.2264728800674822
2015-07-01,2.417854259058489
2015-10-01,2.0977048302256365
2016-01-01,1.7790966943803166
2016-04-01,1.4822116023941143
2016-07-01,1.7896513099354674
2016-10-01,2.1581106658460683
2017-01-01,2.0659727471025406
2017-04-01,2.303674282132867
2017-07-01,2.382219888707256
2017-10-01,2.95019413702556
2018-01-01,3.2746048588388357
2018-04-01,3.2457149879179825
2018-07-01,3.0820439447557475
2018-10-01,2.1028451661348386
2019-01-01,1.915103001944607
2019-04-01,2.217359564857313
2019-07-01,2.758809340425689
2019-10-01,3.296828938912544
2020-01-01,1.34938967738935
2020-04-01,-7.686608719927311
2020-07-01,-1.374069341773449
2020-10-01,-0.9264939728744931
2021-01-01,1.7847326513959163
2021-04-01,11.67662460959932
2021-07-01,5.022542887546443
2021-10-01,5.596606230813625
2022-01-01,3.955317786044252
2022-04-01,2.4241710269531964
2022-07-01,2.321809445290617
2022-10-01,1.308476271351481
2023-01-01,2.284843732571684
2023-04-01,2.7543281922879723
2023-07-01,3.182024599367799
2023-10-01,3.3346703669823787
2024-01-01,2.8230681385222
